,transactionId,productId,customerId,transactionDate,onlineOrder,orderStatus,brand,productLine,productClass,productSize,listPrice,standardCost,productFirstSoldDate
42,48,81,1305,2017-06-10,True,Approved,Solex,Standard,medium,medium,1151.96,+ACQ-649.49,41009.0
43,49,86,1251,2017-06-17,False,Approved,OHM Cycles,Standard,medium,medium,235.63,+ACQ-125.07,38206.0
44,50,32,3103,2017-05-10,False,Approved,Giant Bicycles,Standard,medium,medium,642.7,+ACQ-211.37,37337.0
45,51,77,3108,2017-03-24,False,Approved,Norco Bicycles,Road,medium,large,1240.31,+ACQ-795.10,40553.0
46,52,96,857,2017-11-27,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,+ACQ-993.66,39427.0
47,53,6,3455,2017-12-21,True,Approved,OHM Cycles,Standard,high,medium,227.88,+ACQ-136.73,33549.0
48,54,27,2549,2017-02-09,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,+ACQ-388.72,34527.0
49,55,0,3140,2017-09-18,False,Approved,Norco Bicycles,Standard,low,medium,363.01,+ACQ-290.41,38482.0
50,57,94,2294,2017-08-30,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,+ACQ-993.66,41434.0
51,58,91,1031,2017-11-14,False,Approved,Solex,Standard,medium,medium,100.35,+ACQ-75.26,36367.0
52,59,93,993,2017-02-15,True,Approved,OHM Cycles,Standard,high,medium,1458.17,+ACQ-874.90,38750.0
53,61,0,1839,2017-02-24,False,Approved,OHM Cycles,Road,high,large,12.01,+ACQ-7.21,34244.0
54,63,35,368,2017-12-17,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,+ACQ-954.82,42688.0
55,64,0,2000,2017-07-08,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,+ACQ-388.72,39031.0
56,66,86,3315,2017-02-23,True,Approved,OHM Cycles,Standard,medium,medium,235.63,+ACQ-125.07,36367.0
57,67,2,75,2017-07-03,True,Approved,Solex,Standard,medium,medium,71.49,+ACQ-53.62,41245.0
58,68,4,1498,2017-09-30,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,+ACQ-677.48,38258.0
59,69,38,1612,2017-10-21,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,+ACQ-388.92,41167.0
60,70,27,2192,2017-05-06,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,+ACQ-388.72,36334.0
61,71,54,419,2017-01-03,False,Approved,WeareA2B,Standard,medium,medium,1292.84,+ACQ-13.44,39915.0
62,72,77,3307,2017-05-09,True,Approved,WeareA2B,Standard,medium,medium,1769.64,+ACQ-108.76,40672.0
63,73,22,2430,2017-07-23,False,Approved,WeareA2B,Standard,medium,medium,60.34,+ACQ-45.26,34165.0
64,74,56,1506,2017-01-21,True,Approved,OHM Cycles,Standard,medium,medium,183.86,+ACQ-137.90,35707.0
65,75,58,1346,2017-06-20,False,Approved,OHM Cycles,Standard,medium,medium,912.52,+ACQ-141.40,42295.0
66,76,22,927,2017-03-10,False,Approved,WeareA2B,Standard,medium,medium,60.34,+ACQ-45.26,33552.0
67,77,50,763,2017-06-02,False,Approved,WeareA2B,Standard,medium,small,175.89,+ACQ-131.92,37668.0
68,78,80,2397,2017-11-07,False,Approved,OHM Cycles,Touring,low,medium,1073.07,+ACQ-933.84,36145.0
69,79,87,102,2017-09-12,True,Approved,Giant Bicycles,Standard,high,medium,1179.0,+ACQ-707.40,35667.0
70,80,15,2884,2017-12-16,False,Approved,Norco Bicycles,Standard,low,medium,958.74,+ACQ-748.90,38693.0
71,81,84,759,2017-10-07,True,Approved,Giant Bicycles,Road,medium,medium,792.9,+ACQ-594.68,33879.0
72,82,21,773,2017-04-27,True,Approved,Solex,Standard,medium,large,1071.23,+ACQ-380.74,40670.0
73,83,0,3398,2017-04-01,True,Approved,OHM Cycles,Standard,medium,medium,235.63,+ACQ-125.07,37626.0
74,85,84,2434,2017-02-13,True,Approved,Trek Bicycles,Road,medium,medium,290.62,+ACQ-215.14,38339.0
75,86,1,1861,2017-07-19,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,+ACQ-954.82,38258.0
76,87,27,1233,2017-05-23,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,+ACQ-388.72,33455.0
77,88,31,1390,2017-08-06,False,Approved,WeareA2B,Standard,medium,medium,752.64,+ACQ-205.36,34079.0
78,89,0,2682,2017-04-04,True,Approved,OHM Cycles,Road,high,large,12.01,+ACQ-7.21,40303.0
79,90,62,439,2017-08-15,True,Approved,Solex,Standard,medium,medium,478.16,+ACQ-298.72,34143.0
80,91,17,1579,2017-04-15,True,Approved,Solex,Standard,high,medium,1024.66,+ACQ-614.80,35160.0
81,92,73,2984,2017-07-25,True,Approved,Solex,Standard,medium,medium,1945.43,+ACQ-333.18,36668.0
82,94,86,1,2017-12-23,False,Approved,OHM Cycles,Standard,medium,medium,235.63,+ACQ-125.07,38482.0
83,95,45,757,2017-02-26,False,Approved,Solex,Standard,medium,medium,441.49,+ACQ-84.99,34071.0
84,96,1,1778,2017-02-21,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,+ACQ-954.82,40649.0
85,97,80,211,2017-05-31,True,Approved,OHM Cycles,Touring,low,medium,1073.07,+ACQ-933.84,38339.0
86,98,49,333,2017-06-23,False,Approved,Trek Bicycles,Road,medium,medium,533.51,+ACQ-400.13,37823.0
87,99,95,32,2017-03-26,False,Approved,Giant Bicycles,Standard,medium,large,569.56,+ACQ-528.43,37874.0
88,100,0,119,2017-07-31,False,Approved,Solex,Standard,medium,medium,478.16,+ACQ-298.72,36146.0
89,101,18,2347,2017-07-27,False,Approved,Norco Bicycles,Standard,high,medium,1148.64,+ACQ-689.18,42226.0
90,102,4,2353,2017-04-14,False,Approved,Giant Bicycles,Standard,high,medium,1129.13,+ACQ-677.48,40649.0
91,104,78,1468,2017-09-12,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,+ACQ-709.48,38193.0
92,105,89,821,2017-10-26,False,Approved,WeareA2B,Touring,medium,large,1362.99,+ACQ-57.74,41434.0
93,106,70,2489,2017-02-15,False,Approved,Trek Bicycles,Standard,high,medium,495.72,+ACQ-297.43,42105.0
94,107,79,2710,2017-12-22,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,+ACQ-818.01,37873.0
95,108,26,947,2017-10-11,True,Approved,WeareA2B,Standard,medium,medium,1992.93,+ACQ-762.63,34115.0
96,109,39,1335,2017-03-27,True,Approved,Giant Bicycles,Standard,medium,large,1812.75,+ACQ-582.48,38991.0
97,110,36,1076,2017-11-04,False,Approved,Solex,Standard,low,medium,945.04,+ACQ-507.58,35052.0
98,111,0,3320,2017-06-11,True,Approved,OHM Cycles,Standard,low,medium,71.16,+ACQ-56.93,42172.0
99,112,84,779,2017-10-09,False,Approved,Giant Bicycles,Road,medium,medium,792.9,+ACQ-594.68,33879.0
100,113,98,3296,2017-06-07,True,Approved,Trek Bicycles,Standard,high,medium,358.39,+ACQ-215.03,33364.0
101,114,75,455,2017-10-24,True,Approved,Giant Bicycles,Touring,medium,large,1873.97,+ACQ-863.95,37873.0
102,115,76,1779,2017-05-01,False,Approved,WeareA2B,Standard,low,medium,642.31,+ACQ-513.85,38482.0
103,116,72,2703,2017-11-21,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,+ACQ-270.30,40553.0
104,119,64,1591,2017-02-20,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,+ACQ-596.55,38647.0
105,120,0,678,2017-06-16,False,Approved,Trek Bicycles,Standard,high,medium,495.72,+ACQ-297.43,42105.0
106,121,25,50,2017-12-04,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,33888.0
107,122,24,1038,2017-12-01,True,Approved,Solex,Road,medium,large,1777.8,+ACQ-820.78,34115.0
108,123,31,1453,2017-03-05,True,Approved,WeareA2B,Standard,medium,medium,752.64,+ACQ-205.36,42218.0
109,124,98,1339,2017-03-21,False,Approved,OHM Cycles,Standard,medium,medium,795.34,+ACQ-101.58,35470.0
110,125,22,3382,2017-01-03,True,Approved,Solex,Standard,medium,medium,575.27,+ACQ-431.45,41345.0
111,126,53,773,2017-04-01,False,Approved,OHM Cycles,Standard,medium,medium,795.34,+ACQ-101.58,37823.0
112,127,84,2503,2017-03-16,True,Approved,Trek Bicycles,Road,medium,medium,290.62,+ACQ-215.14,38482.0
113,128,25,1057,2017-02-26,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,42404.0
114,129,50,1397,2017-06-05,False,Approved,WeareA2B,Standard,medium,small,175.89,+ACQ-131.92,42295.0
115,130,44,2134,2017-09-04,False,Approved,WeareA2B,Standard,medium,medium,1769.64,+ACQ-108.76,40672.0
116,132,12,1937,2017-09-28,False,Approved,WeareA2B,Standard,medium,medium,1231.15,+ACQ-161.60,38216.0
117,133,93,1282,2017-09-02,True,Approved,WeareA2B,Standard,medium,medium,1065.03,+ACQ-230.09,37539.0
118,134,78,2183,2017-05-09,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,+ACQ-709.48,33429.0
119,135,84,1788,2017-10-17,False,Approved,Giant Bicycles,Road,medium,medium,792.9,+ACQ-594.68,38859.0
120,136,65,1170,2017-04-25,True,Approved,WeareA2B,Standard,medium,medium,1807.45,+ACQ-778.69,42105.0
121,138,29,1940,2017-08-02,False,Approved,WeareA2B,Standard,medium,medium,1065.03,+ACQ-230.09,36833.0
122,139,32,2073,2017-03-25,False,Cancelled,Giant Bicycles,Standard,high,medium,1179.0,+ACQ-707.40,36833.0
123,140,11,462,2017-01-01,False,Approved,Giant Bicycles,Standard,high,medium,1274.93,+ACQ-764.96,42560.0
124,141,10,2728,2017-12-22,False,Approved,Solex,Standard,medium,medium,1945.43,+ACQ-333.18,37499.0
125,142,46,2053,2017-12-25,False,Approved,Solex,Standard,low,medium,1289.85,+ACQ-74.51,41064.0
126,144,92,1217,2017-12-20,False,Approved,WeareA2B,Touring,medium,large,1890.39,+ACQ-260.14,33259.0
127,145,7,2992,2017-06-07,True,Approved,Trek Bicycles,Road,low,medium,980.37,+ACQ-234.43,38693.0
128,146,41,3261,2017-04-06,True,Approved,Solex,Road,medium,medium,416.98,+ACQ-312.74,35560.0
129,147,67,2748,2017-04-25,True,Approved,Norco Bicycles,Road,medium,medium,544.05,+ACQ-376.84,38647.0
130,149,89,788,2017-03-21,False,Approved,WeareA2B,Touring,medium,large,1362.99,+ACQ-57.74,34079.0
131,150,9,3067,2017-11-21,True,Approved,OHM Cycles,Road,medium,medium,742.54,+ACQ-667.40,34586.0
132,151,31,701,2017-11-11,False,Approved,Giant Bicycles,Standard,medium,medium,230.91,+ACQ-173.18,37698.0
133,153,37,3286,2017-08-19,True,Approved,OHM Cycles,Standard,low,medium,1793.43,+ACQ-248.82,36361.0
134,154,3,3383,2017-04-06,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,+ACQ-388.92,40784.0
135,155,56,982,2017-11-04,True,Approved,Norco Bicycles,Mountain,low,small,688.63,+ACQ-612.88,42404.0
136,157,6,385,2017-09-15,True,Approved,Solex,Standard,high,medium,748.17,+ACQ-448.90,42105.0
137,158,50,1229,2017-03-01,True,Approved,WeareA2B,Standard,medium,small,175.89,+ACQ-131.92,39915.0
138,159,10,3232,2017-08-16,False,Approved,WeareA2B,Touring,medium,medium,1466.68,+ACQ-363.25,41345.0
139,161,69,2381,2017-07-10,False,Approved,Giant Bicycles,Road,medium,medium,792.9,+ACQ-594.68,42105.0
140,162,78,371,2017-12-11,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,+ACQ-709.48,38193.0
141,163,80,2519,2017-05-20,True,Approved,OHM Cycles,Touring,low,medium,1073.07,+ACQ-933.84,42226.0
142,164,17,2264,2017-07-30,False,Approved,Solex,Standard,high,medium,1024.66,+ACQ-614.80,35378.0
143,165,3,2637,2017-10-25,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,+ACQ-388.92,38573.0
144,166,78,3262,2017-11-27,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,+ACQ-709.48,38193.0
145,167,90,3177,2017-04-26,False,Approved,Norco Bicycles,Standard,low,medium,363.01,+ACQ-290.41,38482.0
146,168,87,2267,2017-02-02,False,Approved,Giant Bicycles,Standard,high,medium,1179.0,+ACQ-707.40,35667.0
147,169,97,456,2017-05-02,False,Approved,Solex,Standard,medium,large,202.62,+ACQ-151.96,38002.0
148,170,6,404,2017-10-16,False,Approved,OHM Cycles,Standard,high,medium,227.88,+ACQ-136.73,37838.0
149,171,100,3121,2017-10-22,False,Approved,Norco Bicycles,Road,medium,medium,1036.59,+ACQ-206.35,33364.0
150,172,55,2365,2017-04-11,True,Approved,Trek Bicycles,Road,medium,large,1894.19,+ACQ-598.76,33259.0
151,173,100,2528,2017-11-16,False,Approved,Norco Bicycles,Road,medium,medium,1036.59,+ACQ-206.35,33364.0
152,174,10,3151,2017-12-17,False,Approved,WeareA2B,Touring,medium,medium,1466.68,+ACQ-363.25,34586.0
153,175,25,3241,2017-12-23,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,42696.0
154,176,74,1335,2017-03-30,True,Approved,WeareA2B,Standard,medium,medium,1228.07,+ACQ-400.91,37873.0
155,177,90,2234,2017-04-13,False,Approved,Norco Bicycles,Standard,low,medium,363.01,+ACQ-290.41,38482.0
156,178,56,3226,2017-07-25,True,Approved,OHM Cycles,Standard,medium,medium,183.86,+ACQ-137.90,35707.0
157,179,62,1365,2017-01-31,False,Approved,Solex,Standard,medium,medium,478.16,+ACQ-298.72,34143.0
158,181,17,1002,2017-02-24,False,Approved,Solex,Standard,high,medium,1024.66,+ACQ-614.80,40670.0
159,183,46,2656,2017-01-07,False,Approved,Solex,Standard,low,medium,1289.85,+ACQ-74.51,41064.0
160,185,91,1711,2017-11-19,False,Approved,WeareA2B,Standard,low,medium,642.31,+ACQ-513.85,38193.0
161,186,17,2582,2017-11-08,True,Approved,Solex,Standard,high,medium,1024.66,+ACQ-614.80,35378.0
162,187,1,1005,2017-07-24,True,Approved,Giant Bicycles,Touring,medium,large,1873.97,+ACQ-863.95,37873.0
163,188,3,1597,2017-01-15,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,+ACQ-388.92,41167.0
164,189,56,2713,2017-01-12,True,Approved,OHM Cycles,Standard,medium,medium,183.86,+ACQ-137.90,34143.0
165,190,37,1435,2017-11-27,True,Approved,OHM Cycles,Standard,low,medium,1793.43,+ACQ-248.82,40672.0
166,191,34,1477,2017-06-30,True,Approved,Norco Bicycles,Road,high,large,774.53,+ACQ-464.72,39526.0
167,192,0,1614,2017-07-15,True,Approved,Giant Bicycles,Standard,medium,medium,230.91,+ACQ-173.18,39031.0
168,193,12,1254,2017-06-22,True,Approved,WeareA2B,Standard,medium,medium,1231.15,+ACQ-161.60,39880.0
169,194,25,1423,2017-05-02,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,+ACQ-829.65,40553.0
170,195,81,276,2017-12-27,False,Approved,Norco Bicycles,Standard,medium,small,586.45,+ACQ-521.94,33429.0
171,196,19,1315,2017-12-21,True,Approved,OHM Cycles,Road,high,large,12.01,+ACQ-7.21,36334.0
172,197,45,591,2017-05-23,True,Approved,Solex,Standard,medium,medium,441.49,+ACQ-84.99,34071.0
173,198,74,1017,2017-02-02,False,Approved,WeareA2B,Standard,medium,medium,1762.96,+ACQ-950.52,41848.0
174,200,57,2889,2017-04-15,True,Approved,WeareA2B,Touring,medium,large,1890.39,+ACQ-260.14,34143.0
175,201,0,3208,2017-09-05,True,Approved,Trek Bicycles,Road,medium,medium,533.51,+ACQ-400.13,41064.0
176,202,23,2406,2017-02-26,True,Approved,Norco Bicycles,Mountain,low,small,688.63,+ACQ-612.88,39031.0
177,203,67,2041,2017-07-29,False,Approved,Norco Bicycles,Road,medium,medium,544.05,+ACQ-376.84,38647.0
178,204,81,1598,2017-07-03,True,Approved,Norco Bicycles,Standard,medium,small,586.45,+ACQ-521.94,33429.0
179,205,58,1842,2017-05-27,True,Approved,OHM Cycles,Standard,medium,medium,912.52,+ACQ-141.40,42295.0
180,206,5,141,2017-05-05,False,Approved,Giant Bicycles,Standard,high,medium,1129.13,+ACQ-677.48,38573.0
181,207,94,1321,2017-09-09,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,+ACQ-993.66,41434.0
182,210,63,3356,2017-04-12,True,Approved,Solex,Standard,medium,medium,1483.2,+ACQ-99.59,33879.0
183,211,40,766,2017-05-07,True,Approved,OHM Cycles,Standard,high,medium,1458.17,+ACQ-874.90,38750.0
184,212,80,1596,2017-01-13,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,+ACQ-596.55,38647.0
185,213,82,520,2017-12-14,False,Approved,Norco Bicycles,Standard,high,medium,1148.64,+ACQ-689.18,42226.0
186,214,46,868,2017-03-22,True,Approved,Solex,Standard,low,medium,1289.85,+ACQ-74.51,41009.0
187,215,78,2999,2017-09-30,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,+ACQ-709.48,42226.0
188,216,72,352,2017-11-29,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,+ACQ-270.30,42710.0
189,217,75,1140,2017-06-09,False,Approved,Giant Bicycles,Touring,medium,large,1873.97,+ACQ-863.95,38193.0
190,218,40,621,2017-04-21,False,Approved,Trek Bicycles,Road,medium,large,1894.19,+ACQ-598.76,37823.0
191,219,2,3307,2017-11-13,False,Approved,Giant Bicycles,Road,low,small,590.26,+ACQ-525.33,40487.0
192,220,10,1502,2017-04-09,True,Approved,WeareA2B,Touring,medium,medium,1466.68,+ACQ-363.25,41345.0
193,221,35,936,2017-05-08,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,+ACQ-954.82,42688.0
194,223,2,2698,2017-11-30,False,Approved,Giant Bicycles,Road,low,small,590.26,+ACQ-525.33,40487.0
195,224,69,579,2017-04-25,True,Approved,Giant Bicycles,Road,medium,medium,792.9,+ACQ-594.68,33879.0
196,225,54,2036,2017-03-30,True,Approved,WeareA2B,Standard,medium,medium,1292.84,+ACQ-13.44,39915.0
197,227,86,369,2017-03-16,True,Approved,OHM Cycles,Standard,medium,medium,235.63,+ACQ-125.07,38482.0
198,228,13,821,2017-04-04,True,Approved,Solex,Standard,medium,medium,1163.89,+ACQ-589.27,41345.0
199,229,19,2687,2017-03-13,True,Approved,Trek Bicycles,Mountain,low,medium,574.64,+ACQ-459.71,40784.0
200,230,86,681,2017-12-23,True,Approved,OHM Cycles,Standard,medium,medium,235.63,+ACQ-125.07,41434.0
201,231,46,37,2017-08-12,True,Approved,OHM Cycles,Standard,low,medium,1793.43,+ACQ-248.82,36361.0
202,232,30,3002,2017-08-04,False,Approved,Solex,Standard,high,medium,748.17,+ACQ-448.90,36361.0
203,233,92,396,2017-09-01,False,Approved,WeareA2B,Touring,medium,large,1890.39,+ACQ-260.14,33259.0
204,235,77,1605,2017-07-02,False,Approved,Norco Bicycles,Road,medium,large,1240.31,+ACQ-795.10,40553.0
205,237,23,1420,2017-03-11,True,Approved,Norco Bicycles,Mountain,low,small,688.63,+ACQ-612.88,34244.0
206,238,12,3099,2017-10-08,False,Approved,WeareA2B,Standard,medium,medium,1231.15,+ACQ-161.60,34586.0
207,239,61,1645,2017-10-01,True,Approved,OHM Cycles,Standard,low,medium,71.16,+ACQ-56.93,42145.0
208,240,21,546,2017-11-23,False,Approved,Solex,Standard,medium,large,1071.23,+ACQ-380.74,33552.0
209,241,86,2885,2017-03-27,True,Approved,OHM Cycles,Standard,medium,medium,235.63,+ACQ-125.07,37626.0
210,242,57,2740,2017-12-04,False,Approved,WeareA2B,Touring,medium,large,1890.39,+ACQ-260.14,36146.0
211,243,63,3166,2017-11-13,True,Approved,Solex,Standard,medium,medium,1483.2,+ACQ-99.59,36146.0
212,244,63,3487,2017-12-20,True,Approved,WeareA2B,Standard,medium,medium,1992.93,+ACQ-762.63,34115.0
213,246,98,3370,2017-01-22,False,Approved,OHM Cycles,Standard,medium,medium,795.34,+ACQ-101.58,42172.0
214,247,15,3393,2017-01-29,True,Approved,Norco Bicycles,Standard,low,medium,958.74,+ACQ-748.90,39880.0
215,248,57,2410,2017-07-21,False,Approved,WeareA2B,Touring,medium,large,1890.39,+ACQ-260.14,34143.0
216,249,61,3466,2017-02-10,True,Approved,OHM Cycles,Standard,low,medium,71.16,+ACQ-56.93,42172.0
217,250,48,1454,2017-11-25,False,Cancelled,WeareA2B,Standard,medium,medium,1762.96,+ACQ-950.52,35470.0
218,251,63,1967,2017-04-11,False,Approved,Solex,Standard,medium,medium,1483.2,+ACQ-99.59,42145.0
219,252,78,3089,2017-12-03,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,+ACQ-709.48,41533.0
220,253,2,3123,2017-12-30,False,Approved,Giant Bicycles,Road,low,small,590.26,+ACQ-525.33,40487.0
221,254,67,2692,2017-07-26,False,Approved,Solex,Standard,medium,large,1071.23,+ACQ-380.74,36334.0
222,255,67,2801,2017-04-01,True,Cancelled,Norco Bicycles,Road,medium,medium,544.05,+ACQ-376.84,38647.0
223,256,13,1580,2017-10-22,True,Approved,Solex,Standard,medium,medium,1577.53,+ACQ-826.51,40618.0
224,257,65,352,2017-03-22,False,Approved,WeareA2B,Standard,medium,medium,1807.45,+ACQ-778.69,42145.0
225,258,49,1777,2017-06-15,True,Approved,Trek Bicycles,Road,medium,medium,533.51,+ACQ-400.13,41064.0
226,259,87,142,2017-07-06,True,Approved,Giant Bicycles,Standard,high,medium,1179.0,+ACQ-707.40,35667.0
227,260,31,3393,2017-12-28,False,Approved,Giant Bicycles,Standard,medium,medium,230.91,+ACQ-173.18,40618.0
228,261,17,599,2017-05-09,False,Approved,Solex,Standard,high,medium,1024.66,+ACQ-614.80,39880.0
229,262,91,1258,2017-01-18,False,Approved,Solex,Standard,medium,medium,100.35,+ACQ-75.26,36367.0
230,263,53,3405,2017-10-22,True,Approved,OHM Cycles,Standard,medium,medium,795.34,+ACQ-101.58,36668.0
231,264,38,3198,2017-01-30,False,Approved,Solex,Standard,medium,medium,1577.53,+ACQ-826.51,34170.0
232,266,44,3467,2017-11-07,True,Approved,WeareA2B,Standard,medium,medium,1769.64,+ACQ-108.76,40672.0
233,267,69,3436,2017-08-13,True,Approved,Giant Bicycles,Road,medium,medium,792.9,+ACQ-594.68,41922.0
234,268,68,1516,2017-08-27,False,Approved,OHM Cycles,Standard,medium,medium,1636.9,+ACQ-44.71,40410.0
235,269,11,2833,2017-01-25,True,Approved,Giant Bicycles,Standard,high,medium,1274.93,+ACQ-764.96,41345.0
236,270,2,2362,2017-02-13,False,Approved,Solex,Standard,medium,medium,71.49,+ACQ-53.62,38573.0
237,271,27,2337,2017-07-11,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,+ACQ-388.72,36334.0
